timeStamp: 538566618034775360, state: Initial, ppg0: 311821, ppg1: 397105, ppg2: 323894, ambient: 5287
timeStamp: 538566618042193664, state: Initial, ppg0: 311886, ppg1: 397146, ppg2: 323956, ambient: 5292
timeStamp: 538566618049611968, state: Initial, ppg0: 312010, ppg1: 397293, ppg2: 324078, ambient: 5226
timeStamp: 538566618057030336, state: Initial, ppg0: 312040, ppg1: 397346, ppg2: 324123, ambient: 5370
timeStamp: 538566618064448640, state: Initial, ppg0: 312118, ppg1: 397496, ppg2: 324295, ambient: 5283
timeStamp: 538566618071866944, state: Initial, ppg0: 312076, ppg1: 397597, ppg2: 324325, ambient: 5336
timeStamp: 538566618079285248, state: Initial, ppg0: 312190, ppg1: 397665, ppg2: 324450, ambient: 5296
timeStamp: 538566618086705408, state: Initial, ppg0: 312261, ppg1: 397558, ppg2: 324401, ambient: 4997
timeStamp: 538566618094125568, state: Initial, ppg0: 312308, ppg1: 397677, ppg2: 324467, ambient: 5154
timeStamp: 538566618101545664, state: Initial, ppg0: 312395, ppg1: 397791, ppg2: 324635, ambient: 5297
timeStamp: 538566618108965824, state: Initial, ppg0: 312553, ppg1: 397954, ppg2: 324784, ambient: 5265
timeStamp: 538566618116385920, state: Initial, ppg0: 312487, ppg1: 398119, ppg2: 324891, ambient: 5285
timeStamp: 538566618123806080, state: Initial, ppg0: 312531, ppg1: 398153, ppg2: 324887, ambient: 5323
timeStamp: 538566618131226176, state: Initial, ppg0: 312687, ppg1: 398375, ppg2: 325016, ambient: 5292
timeStamp: 538566618138646336, state: Initial, ppg0: 312749, ppg1: 398485, ppg2: 325150, ambient: 5368
timeStamp: 538566618146066432, state: Initial, ppg0: 312757, ppg1: 398614, ppg2: 325293, ambient: 5340
timeStamp: 538566618153486592, state: Initial, ppg0: 312892, ppg1: 398705, ppg2: 325424, ambient: 5292
timeStamp: 538566618160906752, state: Initial, ppg0: 312952, ppg1: 398863, ppg2: 325563, ambient: 5353
timeStamp: 538566618168326848, state: Initial, ppg0: 313014, ppg1: 398914, ppg2: 325710, ambient: 5400
timeStamp: 538566618175747008, state: Initial, ppg0: 313159, ppg1: 399011, ppg2: 325848, ambient: 5413
timeStamp: 538566618183167104, state: Initial, ppg0: 313223, ppg1: 399195, ppg2: 325969, ambient: 5376
timeStamp: 538566618190587264, state: Initial, ppg0: 313349, ppg1: 399314, ppg2: 325964, ambient: 5378
timeStamp: 538566618198007360, state: Initial, ppg0: 313360, ppg1: 399472, ppg2: 326149, ambient: 5348
timeStamp: 538566618205427520, state: Initial, ppg0: 313509, ppg1: 399626, ppg2: 326322, ambient: 5410
